business_id,name,stars,review_count,categories,open
Iu-oeVzv8ZgP18NIB0UMqg,Southern California Medical Group,3.5,2,Medical Centers ; Health and Medical ; ,TRUE
ae5tm46-ewAhUJ6HR4fXFA,Harvard Square Shiatsu,4,4,Massage ; Beauty and Spas ; ,TRUE
lb9qELwduFgBo408x2VKOA,Faith & Glory Collective,4,2,Tattoo ; Beauty and Spas ; ,TRUE
HPWmjuivv3xJ279qSVfNaQ,Von's Records & Posters,3.5,3,Music & DVDs ; Books  Mags  Music and Video ; Shopping ; ,TRUE
DARh6yjrGGVZ7R3Gdh4CMA,JP's Java,3.5,85,Food ; Coffee & Tea ; ,TRUE
ZKcVHVlD-kwmXFlnPzxpMg,Cooper Brown Real Estate,3.5,4,Property Management ; Home Services ; Real Estate ; ,TRUE
HIPGr2gSEN4T73tjz47hpw,Winberie's Restaurant & Bar,3.5,77,Pubs ; Bars ; American (Traditional) ; Nightlife ; Restaurants ; ,TRUE
A_Fm4v2-gQuGBBI-GBx4Uw,Joe's Tavern,4,2,Pizza ; Restaurants ; ,TRUE
 -ilTnXu41RrxQITuolQhmQ,Starbucks,3,4,Food ; Coffee & Tea ; ,TRUE
L5ABFgTmN-T-uZjuGpoi3Q,Vitamin Shoppe,5,2,Food ; Specialty Food ; Health Markets ; ,TRUE
M1pXCGikSigFib_ZZzKMnA,Parties Over Boston,5,2,Event Planning & Services ; Party & Event Planning ; ,TRUE
__PHRVOgyR-WgkKPHwnvoA,Nierman Preschool,4,2,Elementary Schools ; Education ; Preschools ; ,TRUE
9j6aqUdpPojPFkb265ep3w,Pasadena Towers Parking,5,3,Car Wash ; Automotive ; Auto Detailing ; Parking ; ,TRUE
MuTJSKkzF_fmK-eG8RoZSA,Ryan's Wake,3.5,10,Bars ; Nightlife ; ,TRUE
EjgQxDOUS-GFLsNxoEFJJg,Rick's Steaks,3.5,43,Cheesesteaks ; Sandwiches ; Restaurants ; ,TRUE
zRvrZaXYgZtFaA-ZR93pfA,Sunset North Car Wash,2.5,3,Car Wash ; Automotive ; ,TRUE
ipTk8GbPjycGDqGgUZrl9w,Pins and Needles,3.5,9,Arts & Crafts ; Shopping ; ,TRUE
8q_fyg8fkMeVx69jDhJ7jw,Jimmy John's,4,23,Sandwiches ; Restaurants ; ,TRUE
iT581VVVGgpik06KplZOuQ,South Street Smoke House,4,50,Barbeque ; Restaurants ; ,TRUE
QYOtmUPz0eTkV2sLuRHPvg,Escape Salon,4,13,Hair Salons ; Beauty and Spas ; ,TRUE
UR9H6ZcjMjGhJmmITypI2A,Grappolo,3.5,8,Wine Bars ; Bars ; Italian ; Nightlife ; Restaurants ; ,FALSE
CyUfjTpoIgNghGlqfz9aEw,El Gallo Giro,4,3,Mexican ; Restaurants ; ,TRUE
jztBVgN-TAXhUKczMdB9zA,TJ Maxx,4.5,10,Department Stores ; Fashion ; Shopping ; ,TRUE
X9Hna0jBuwkFi-PoTl1w6A,Palm Theatre,4.5,81,Arts & Entertainment ; Cinema ; ,TRUE
